"0. 귀하의 연령대가 어떻게 되나요?","1. 귀하는 어떤 여행을 선호 하는 편인가요?","2. 국내여행 혹은 해외여행을 더 선호하시는 이유는 무엇인가요?","3. 귀하는 여행의 목적은 무엇인가요?","4. 여행가기전 정보조사를 어느 매체를 통해 하십니까?","5. 귀하는 국내여행을 간다면 어디로 가시겠습니까?","6. 위에 고르신 지역 중 구체적으로 어디 여행을 하고싶은지 적어주세요","7. 귀하가 충청권(충청북도, 충청남도, 대전, 세종)을 고르지 않으신 이유는?","8.  충청권(충청북도, 충청남도, 대전, 세종)의 여행지로서 이미지는 어떤가요?","9. 충청권(충청북도, 충청남도, 대전, 세종) 여행을 해보신 적이 있으면 아쉬웠던점 적어주세요"
"30대","해외여행","해외 갈 돈이나 국내 가는 돈이나 비슷함","맛집탐방	즐길거리(카페 및 놀거리 등)	휴양(호캉스 포함)	유흥","SNS(페이스북, 인스타그램)	블로그	카페","경상도 지역(ex. 부산, 대구, 포항 등)","부산","관광지가 부족해서	휴양하기에 적합하지 않아서","3대 노잼도시","관광지가 없다 대전가서 빵만 먹고옴"
"30대","해외여행","해외여행이 더 저렴/ 다양한 문화체험","맛집탐방	즐길거리(카페 및 놀거리 등)	쇼핑	관광지	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)	블로그	카페	지인 추천	여행사 사이트","강원도 지역(ex. 속초, 양양, 강릉 등)","양양 고성","즐길거리가 부족해서	관광지가 부족해서	휴양하기에 적합하지 않아서	충청권에 대한 정보부족","여행지의 의미가 없다.. 유명한 관광지 부족","즐길거리 부족. 유명한거 부족 홍보부족 지원부족"
"30대","국내여행","없음","맛집탐방	즐길거리(카페 및 놀거리 등)	쇼핑","블로그	카페","강원도 지역(ex. 속초, 양양, 강릉 등)","강릉","즐길거리가 부족해서	관광지가 부족해서	쇼핑 하기에 적합하지 않아서","너무 특색이 없는 것 같아요 ",""
"30대","해외여행","우리나라에는 즐길 수 없는게 많아서 ","쇼핑	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)	블로그	여행사 사이트","제주도","우도","쇼핑 하기에 적합하지 않아서","재미가 없어요 ","쇼핑에 적합하지 않네요 "
"30대","국내여행","국내여행이 시간과 돈이 절약됨","자연(강,바다,산,호수)","지인 추천","전라도 지역(ex. 전주, 여수, 순천 등)","여수 ","휴양하기에 적합하지 않아서","그냥 너무 단조롭기만 하다 ",""
"30대","국내여행","바로 떠날 수 있어서 ","관광지	휴양(호캉스 포함)","블로그	여행사 사이트","경기도 지역(ex. 가평, 파주, 수원 등)","가평 남이섬","관광지가 부족해서	휴양하기에 적합하지 않아서","특색있는 관광지가 없다","교통이 불편하다"
"30대","국내여행","돈이 절약됨","즐길거리(카페 및 놀거리 등)	쇼핑","SNS(페이스북, 인스타그램)","서울","백화점 ","쇼핑 하기에 적합하지 않아서","그냥 그래요 ","쇼핑타운이 부족해요 "
"30대","해외여행","다양한 나라의 문화를 즐길 수 있음","쇼핑	관광지","SNS(페이스북, 인스타그램)	블로그	카페	책	지인 추천	여행사 사이트","전라도 지역(ex. 전주, 여수, 순천 등)","전주 ","맛집 탐방할 곳이 없는거 같아서","맛집을 가려고 굳이굳이 찾아가기에는 시간과 돈이 아까움 차라리 다른 지역에 있는 맛집 가서 관광도 하고 여러가지 하겠음 ",""
"30대","국내여행","영어를 못해서 국내여행 선호 ","즐길거리(카페 및 놀거리 등)	자연(강,바다,산,호수)","블로그","충청도 지역(ex. 청주, 대전, 세종 등)","청주 ","충청권을 골랐다","그냥 그렇다 친척 있어서 가는거지 솔직히 재미는 없다 여행지로서 비추천","그냥 하루잡고 놀기에는 괜찮은데 몇박몇일 있기에는 시간 아까움 "
"30대","해외여행","물가 싼 나라 가서 flex하기 좋음 ","맛집탐방	즐길거리(카페 및 놀거리 등)	쇼핑","SNS(페이스북, 인스타그램)	지인 추천	여행사 사이트","제주도","애월 ","휴양하기에 적합하지 않아서","음 바다가 없고 호텔도 그저 그래요 ","랜드마크로 불릴만한 고급 호텔이 생기면 좋겠어요 "
"30대","국내여행","이웃나라에 돈 쓰기 싫어서 ","즐길거리(카페 및 놀거리 등)	쇼핑	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)	블로그	책","경상도 지역(ex. 부산, 대구, 포항 등)","부산 해운대 ","휴양하기에 적합하지 않아서	충청권에 대한 정보부족","딱히 정보가 없네요 ","인터넷에 검색했을 때 끌릴만한 정보가 더 나왔으면 좋겠어요 "
"30대","해외여행","면세점에서 면세 받으려고 ","맛집탐방	즐길거리(카페 및 놀거리 등)	쇼핑","블로그	카페	지인 추천	여행사 사이트","제주도","제주신라호텔에서 호캉스 ","즐길거리가 부족해서	쇼핑 하기에 적합하지 않아서	충청권에 대한 정보부족","별로에요 ",""
"30대","국내여행","제주도 러버라서 ","즐길거리(카페 및 놀거리 등)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	지인 추천	여행사 사이트","제주도","제주 한라산","즐길거리가 부족해서	관광지가 부족해서	휴양하기에 적합하지 않아서	충청권에 대한 정보부족","그냥 평화롭다","저는 sns로 맛집같은거 찾는데 그런 정보가 부족해요 "
"30대","해외여행","대한민국에 안주하지 않고 견문을 넓힐 수 있다","맛집탐방	관광지","SNS(페이스북, 인스타그램)	카페	여행사 사이트","충청도 지역(ex. 청주, 대전, 세종 등)","대전 ","충청권을 골랐다","솔직히 당일치기로 갔다오기에 제일 적합한 것 같아요 ",""
"40대","국내여행","시간적 장소적 접근성이 좋다","맛집탐방	즐길거리(카페 및 놀거리 등)	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)	블로그	지인 추천","전라도 지역(ex. 전주, 여수, 순천 등)","여수, 남해","즐길거리가 부족해서	관광지가 부족해서	충청권에 대한 정보부족","산이 많다","먹거리가 노년층 중심이다"
"30대","해외여행","다른나라 문화 경험 ","관광지	휴양(호캉스 포함)	자연(강,바다,산,호수)","블로그	책","제주도","제주도 해안..","휴양하기에 적합하지 않아서	충청권에 대한 정보부족","여행보단 출장으로 갈 것 같음 ",""
"30대","국내여행","아무때나 훌쩍 떠날수 있음. 여행계획을 짜기 편함","맛집탐방	즐길거리(카페 및 놀거리 등)	관광지	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	지인 추천","강원도 지역(ex. 속초, 양양, 강릉 등)","강릉, 속초","즐길거리가 부족해서	관광지가 부족해서	충청권에 대한 정보부족","다른 지역들에 비해 특색이 없는 느낌","볼거리가 없는게 아닌데 홍보가 덜 된 느낌이였다 (공주 여행경험 있음)"
